Company_Name,Dependent-Company Status,year of founding,Age of company in years,Short Description of company profile,Industry of company,Focus functions of company,Investors,Employee Count,Employees count MoM change,Has the team size grown,Est. Founding Date,Last Funding Date,Last Funding Amount,Country of company,Continent of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Presence of a top angel or venture fund in previous round of investment,Number of of repeat investors,Number of  Sales Support material,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Have been part of successful startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on private or public data?,Focus on consumer data?,Focus on structured or unstructured data,Subscription based business,Cloud or platform based serive/product?,Local or global player,Linear or Non-linear business model,"Capital intensive business e.g. e-commerce, Engineering products and operations can also cause a business to be capital intensive",Number of  of Partners of company,Crowdsourcing based business,Crowdfunding based business,Machine Learning based business,Predictive Analytics business,Speech analytics business,Prescriptive analytics business,Big Data Business,Cross-Channel Analytics/ marketing channels,Owns data or not? (monetization of data) e.g. Factual,Is the company an aggregator/market place? e.g. Bluekai,Online or offline venture - physical location based business or online venture?,B2C or B2B venture?,Top forums like 'Tech crunch' or 'Venture beat' talking about the company/model - How much is it being talked about?,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Highest education,Years of education,Specialization of highest education,Relevance of education to venture,Relevance of experience to venture,Degree from a Tier 1 or Tier 2 university?,Renowned in professional circle,Experience in selling and building products,Experience in Fortune 100 organizations,Experience in Fortune 500 organizations,Experience in Fortune 1000 organizations,Top management similarity,Number of Recognitions for Founders and Co-founders,Number of  of Research publications,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Hyper localisation,Time to market service or product,Employee benefits and salary structures,Long term relationship with other founders,Proprietary or patent position (competitive position),Barriers of entry for the competitors,Company awards,Controversial history of founder or co founder,Technical proficiencies to analyse and interpret unstructured data,Invested through global incubation competitions?,Industry trend in investing,Disruptiveness of technology,Number of Direct competitors,Employees per year of company existence,Last round of funding received (in milionUSD),"Survival through recession, based on existence of the company through recession times",Time to 1st investment (in months),"Avg time to investment - average across all rounds, measured from previous investment",Time to maturity of technology (in years),Percent_skill_Entrepreneurship,Percent_skill_Operations,Percent_skill_Engineering,Percent_skill_Marketing,Percent_skill_Leadership,Percent_skill_Data Science,Percent_skill_Business Strategy,Percent_skill_Product Management,Percent_skill_Sales,Percent_skill_Domain,Percent_skill_Law,Percent_skill_Consulting,Percent_skill_Finance,Percent_skill_Investment,Renown score
Company307,Success,2007,7,Content Valuation Platform,Marketing|Media|Analytics|Advertising,finance,,0,-100,No,1/1/07,6/28/12,250000,United States,North America,1,0,4,0,7,50,Yes,0,medium,Yes,Medium,Yes,Yes,No,No,Service,No,Public,No,Structured,Yes,Both,GLOBAL,Linear,No,None,No,Yes,Yes,No,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,MGM,Yes,Yes,Both,500,High,1,1,1,None,2,None,19,Low,Low,No,No,Low,No Info,No,No,No,No,No,Yes,No,2,Low,0,8.33,0.25,Yes,46,9.45,2 to 5,0,0,3.333333333,9.583333333,0,29.16666667,18.75,0,6.25,16.25,0,0,16.66666667,0,5
Company308,Success,2010,4,Delivering Return on Social,E-Commerce|Analytics|Marketing,social media marketing,GSV Capital,6,0,No,11/1/10,4/12/12,2669209,United States,North America,0,2,2,0,4,15,Yes,1,medium,No,Medium,Yes,Yes,No,No,Product,No,Public,No,Structured,Yes,Both,GLOBAL,Non-Linear,Yes,Few,No,Yes,Yes,No,No,Yes,Yes,No,Yes,No,Online,B2B,Low,Medium,Yes,Low,PhD,25,TECH,Yes,Yes,Both,500,High,1,1,1,Medium,0,None,44,High,Low,No,Yes,Low,No Info,No,No,No,No,No,No,No,3,Medium,0,5,2.669209,Not Applicable,5,2.266666667,0 to 2,0,0,0,72.22222222,0,16.66666667,5.555555556,0,0,5.555555556,0,0,0,0,5
Company309,Success,2011,3,,Analytics|Search|Hospitality,Marketing & Sales,Gil Elbaz|Bruno Bowden|Jeff Hammerbacher|Dharmesh Shah|Michael Abbott|Andrew McCollum|Ed Roberts|Jean Hammond|Matt Ocko|Quotidian Ventures|General Catalyst Partners|Lowercase Capital|Lightbank|SV Angel|Naval Ravikant|Babak Nivi,25,9,yes,1/1/11,4/23/12,4000000,United States,North America,10,8,3,0,8,50,No,0,medium,No,Medium,Yes,Yes,No,Yes,Service,Yes,Public,Yes,Structured,Yes,Both,GLOBAL,Non-Linear,No,Few,No,No,No,No,No,Yes,Yes,No,Yes,No,Online,B2B,Medium,High,No,Low,Masters,21,management,Yes,Yes,Both,500,Low,0,0,0,None,196,None,36,Low,Low,No,No,Low,No Info,No,No,No,No,No,Yes,No,3,High,3,25,4,Not Applicable,8,3.816666667,2 to 5,11.76470588,0,5.882352941,23.52941176,5.882352941,11.76470588,17.64705882,5.882352941,5.882352941,0,0,0,5.882352941,5.882352941,2
Company310,Success,2007,7,In-game Payment Solutions,Advertising|Social Networking|Analytics|Gaming,operation,Steamboat Ventures|The Mail Room Fund|Greycroft Partners|Launchpad LA|AT&T,8,0,yes,9/1/07,10/16/09,4000000,United States,North America,0,0,2,1,6,50,Yes,3,medium,No,Medium,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,Yes,none,GLOBAL,Non-Linear,No,Few,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Online,B2B,Medium,Low,Yes,Low,Masters,21,management,Yes,Yes,Tier_1,500,Low,0,0,0,None,200,None,35,High,Low,No,No,Medium,No Info,No,No,Yes,No,No,No,No,4,Medium,2,8.3,4,Yes,9,5.777777778,2 to 5,11.76470588,0,11.76470588,11.76470588,5.882352941,5.882352941,29.41176471,0,11.76470588,11.76470588,0,0,0,0,6
Company311,Success,2009,5,Big Data Solutions,Cloud Computing|Social Networking|Analytics,social network,Stage One Capital|Mercury Fund|ff Venture Capital|Dundee Venture Capital|MFI Capital,39,8,Yes,7/14/09,6/4/13,595000,United States,North America,0,1,3,1,5,50,Yes,1,low,No,Medium,Yes,Yes,No,No,Product,Yes,Both,Yes,Both,Yes,none,GLOBAL,Non-Linear,Yes,Few,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Online,B2B,Medium,Medium,Yes,Medium,Masters,21,management,No,No,Both,500,High,0,0,0,None,173,None,28,Low,Low,No,No,Low,No Info,No,No,No,No,No,No,No,3,Medium,4,12.5,0.595,Not Applicable,1,5.522222222,2 to 5,6.637989204,6.25,50.78391681,3.947368421,4.714912281,11.5022426,10.13286894,1.315789474,3.399122807,0,0,0,0,1.315789474,9
Company312,Success,2011,3,iOS and Android Crash Reporting,Analytics|Mobile|Enterprise Software|Software Development,N,Flybridge Capital Partners|Baseline Ventures|CommonAngels|David Chang|Jennifer Lum|Lars Albright|Ty Danco|Roy Rodenstein|Joe Caruso|David S. Chang,6,-14,yes,2/1/11,4/10/12,5000000,United States,North America,11,0,1,0,1,50,No,0,low,Yes,Medium,Yes,Yes,No,Yes,Product,No,Public,No,Unstructured,Yes,none,GLOBAL,Non-Linear,Yes,Few,No,Yes,No,No,No,Yes,No,No,No,No,Online,B2B,High,High,Yes,Medium,Bachelors,18,technology,Yes,Yes,Both,500,Low,1,1,1,None,160,None,34,Medium,High,No,No,Low,No Info,No,No,No,No,No,Yes,No,2,Medium,0,25,5,Not Applicable,6,3,,16.66666667,0,27.77777778,16.66666667,0,0,11.11111111,22.22222222,5.555555556,0,0,0,0,0,4
Company313,Success,2007,7,,Analytics,PUBLISHING,Rho Capital Partners,3,50,No,12/1/07,3/30/12,750000,United States,North America,0,0,1,6,2,50,No,0,low,No,Medium,Yes,Yes,No,Yes,Product,No,Public,No,Structured,Yes,Both,GLOBAL,Linear,No,None,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Bachelors,18,jd,No,Yes,Both,500,High,1,0,0,None,408,Many,23,Low,Low,Yes,No,Low,No Info,No,No,No,No,No,Yes,No,3,Medium,3,8.3,0.75,Yes,10,8.706666667,2 to 5,11.11111111,5.555555556,0,33.33333333,0,5.555555556,22.22222222,5.555555556,0,5.555555556,0,0,0,11.11111111,0
Company314,Success,2005,9,location intelligence solutions,Analytics|Government,global,Chart Venture Partners|In-Q-Tel|New Markets Venture Partners|Walker Ventures|The New Markets Growth Fund,4,0,No,7/7/05,8/26/10,5500000,United States,North America,0,0,2,0,4,No Info,No,1,low,No,Medium,Yes,Yes,No,No,Service,Yes,Both,No,Both,Yes,none,LOCAL,Non-Linear,No,None,No,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,technology,No,No,None,500,Low,0,0,0,None,150,None,6,Low,Low,No,No,Medium,No Info,No,No,No,No,No,Yes,No,3,Low,0,No Info,5.5,Yes,48,20.91111111,2 to 5,6.666666667,18.18181818,11.21212121,11.21212121,0,16.66666667,16.96969697,3.333333333,4.545454545,11.21212121,0,0,0,0,5
Company315,Success,2005,9,Web Site Testing & Personalization,Analytics,analytics,Gemini Israel ventures|Carmel Ventures|Viola Group,4,0,No,5/15/05,10/5/11,7400000,United States,North America,0,0,2,0,6,40,No,0,low,No,Small,Yes,Yes,No,Yes,Service,Yes,Public,No,Structured,Yes,Both,GLOBAL,Non-Linear,Yes,None,No,Yes,Yes,No,No,Yes,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Masters,21,MGMT,Yes,No,None,500,High,0,0,0,None,150,None,28,Medium,Low,No,No,Medium,No Info,No,No,No,No,No,No,No,3,High,2,5,7.4,Yes,6,23.36666667,2 to 5,11.76470588,0,41.17647059,11.76470588,0,0,17.64705882,5.882352941,5.882352941,5.882352941,0,0,0,0,5
Company316,Success,2010,4,,Analytics,GLOBAL,Sequoia Capital|Magma Venture Partners|Horizons Ventures|Motorola Solutions Venture Capital,13,-13,No,1/1/10,1/24/12,10000000,United States,North America,0,0,2,1,6,40,Yes,2,low,Yes,Small,Yes,Yes,No,Yes,Service,Yes,Public,No,Both,No,Both,No Info,Non-Linear,Yes,None,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Online,B2B,None,High,Yes,Medium,Masters,21,management,Yes,Yes,None,500,Medium,0,0,0,None,0,None,9,High,Low,No,No,Low,No Info,No,No,No,Yes,No,Yes,No,4,High,0,13.3,10,Not Applicable,17,5,2 to 5,7.142857143,0,14.28571429,0,0,0,7.142857143,7.142857143,0,14.28571429,0,0,0,0,11
Company317,Success,2005,9,Music Intelligence Company,Music|Search|Analytics,Music intelligece,Commonwealth Capital Ventures|Matrix Partners|Norwest Venture Partners|Jim Pallotta,83,2,Yes,7/14/05,7/12/12,17300000,United States,North America,0,0,2,3,7,65,Yes,0,medium,No,Small,No,No,No,Yes,Service,No,Public,No,no,Yes,Platform,global,Non-Linear,Yes,None,Yes,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Online,B2B,Medium,High,Yes,Low,PhD,25,PHD,Yes,Yes,Tier_1,500,Medium,0,0,0,None,1,None,15,High,Low,No,No,Low,No Info,No,No,No,Yes,No,Yes,No,3,Medium,5,8.125,17.3,Yes,24,11.68333333,2 to 5,3.333333333,3.333333333,23.33333333,0,0,26.66666667,0,0,0,10,0,0,0,0,2
Company318,Success,2006,8,"Helping people share, save and subscribe",Analytics,Location based service,,,,No,3/1/06,,0,United States,North America,0,0,1,0,1,No Info,No,0,medium,No,Small,Yes,Yes,No,No,Service,Yes,Public,No,Unstructured,Yes,Both,GLOBAL,Linear,Yes,None,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Online,B2B,Low,Medium,No,Low,No Info,No Info,PHD,Yes,Yes,Tier_1,500,High,0,0,0,None,0,None,9,Low,Medium,No,No,Low,No Info,No,No,No,Yes,No,No,No,4,High,1,No Info,No Info,Yes,1,1,2 to 5,16.66666667,0,0,33.33333333,0,16.66666667,0,16.66666667,0,16.66666667,0,0,0,0,0
Company319,Success,2007,7,Media and advertising solutions.,Analytics|Entertainment,SOCIAL TV ANALYTICS,,14,0,Yes,4/1/07,,0,United States,North America,0,0,1,0,2,50,No,0,low,No,Medium,Yes,Yes,No,No,Service,No,Public,No,Structured,Yes,Both,GLOBAL,Linear,No,Few,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Online,B2B,Low,High,Yes,Low,PhD,25,phd,Yes,Yes,Both,500,High,1,1,0,None,0,None,44,Medium,Low,No,No,Low,No Info,No,No,No,No,No,No,No,4,High,3,5.5,No Info,Yes,1,1,0 to 2,0,0,0,58.82352941,0,5.882352941,11.76470588,0,0,23.52941176,0,0,0,0,0
Company320,Success,2005,9,Analytic database systems,Analytics,Data driven applications,David Cheriton|Anand Rajaraman|Ron Conway|First Round Capital|SV Angel|Sequoia Capital|Cambrian Ventures|Jafco Ventures|Institutional Venture Partners,,,Yes,7/1/05,9/22/10,30000000,United States,North America,0,4,3,1,6,50,Yes,1,medium,No,Medium,Yes,Yes,No,No,Service,Yes,Both,No,Both,No,Platform,GLOBAL,Linear,No,None,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,Online,B2B,Medium,High,Yes,Low,PhD,25,phd,Yes,Yes,Tier_1,500,High,1,1,0,None,4,Many,40,Low,Medium,No,No,Medium,No Info,No,No,No,No,No,No,No,4,Medium,0,6.25,30,Yes,7,14.88333333,2 to 5,1.851851852,1.851851852,51.85185185,0,0,9.259259259,1.851851852,0,0,0,0,0,0,0,5
Company321,Success,2008,6,mobile development tools,Advertising|Analytics,apps,W Media Ventures|First Round Capital|Union Square Ventures|Dave Morgan|Michael Yavonditte|Sharkey Goldstein Capital|Neu Venture Capital,,,No,4/1/08,1/6/10,560001,United States,North America,6,0,3,1,5,34,No,1,medium,Yes,Medium,Yes,Yes,No,No,Service,No,Public,No,Structured,No,Both,GLOBAL,Linear,No,None,No,No,No,No,No,No,Yes,No,Yes,No,Online,B2C,Medium,High,Yes,Low,Masters,21,ma,No,Yes,Tier_1,500,High,1,0,0,None,0,None,21,High,Low,No,No,Low,No Info,No,No,No,No,No,Yes,No,4,High,2,6.8,0.560001,Yes,2,6.833333333,0 to 2,3.571428571,2.941176471,39.28571429,14.70588235,0,15.96638655,8.823529412,2.941176471,2.941176471,8.823529412,0,0,0,0,6
Company322,Success,2005,9,Data analytics,Analytics,analytics,Diamondhead Ventures|ONSET Ventures|UPS Strategic Enterprise Fund,1,0,No,1/1/05,7/20/09,3000000,United States,North America,3,0,2,2,5,30,No,1,low,Yes,Small,Yes,Yes,No,No,Product,Yes,Public,No,Structured,No,none,GLOBAL,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,No,Online,B2B,Low,High,No,Low,No Info,No Info,,No Info,Yes,None,38,High,0,1,1,None,0,None,18,Low,Low,No,No,Low,No Info,No,No,Yes,No,No,Yes,No,3,Medium,0,3.75,3,Yes,50,50,2 to 5,0,0,93.33333333,0,0,0,6.666666667,0,0,0,0,0,0,0,7
Company323,Failed,2008,6,Peer-to-Peer Student Loans,Education|Analytics|Finance|Social Networking,finance,Josh Mailman|Radcliff Group,4,0,No,1/1/08,6/19/09,2500000,United States,North America,2,0,2,1,2,10,Yes,0,low,No,Medium,Yes,Yes,No,Yes,Service,Yes,Public,No,Structured,No,Both,Local,Linear,Yes,None,No,No,No,No,No,No,No,No,No,No,Offline,B2B,Low,High,No,Medium,Bachelors,18,management,Yes,Yes,Tier_1,500,High,0,0,0,None,150,None,25,Low,Low,No,No,Low,No Info,No,No,Yes,No,No,Yes,No,2,Medium,6,2,2.5,No,20,20,0 to 2,11.11111111,16.66666667,0,0,11.11111111,5.555555556,22.22222222,5.555555556,5.555555556,0,0,0,16.66666667,5.555555556,0
Company324,Success,2007,7,SaaS Marketing Automation,Analytics|Marketing,analytics,,197,2,yes,1/1/07,,0,United States,North America,0,0,2,0,4,5000,No,0,low,No,Small,Yes,Yes,No,Yes,Product,Yes,no,No,no,No,Platform,GLOBAL,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2B,Low,High,Yes,Low,Bachelors,18,arts,No,Yes,Tier_1,500,Low,0,0,0,High,363,None,21,High,Low,No,No,Low,No Info,Yes,No,No,No,No,Yes,No,2,Medium,2,833.3,No Info,Yes,1,1,5 to 10,6.666666667,0,28.33333333,22.5,3.333333333,3.333333333,22.5,6.666666667,3.333333333,0,0,0,0,3.333333333,5
Company325,Success,2007,7,Data Activation System,Analytics|Marketing,Marketing & Sales,Battery Ventures|Redpoint Ventures|Hadi Partovi|Ali Partovi|e.ventures|Satya Patel|Redpoint eVentures|Split Rock Partners|GGV Capital ,168,4,No,1/1/07,1/20/12,15000000,United States,North America,0,0,1,2,11,200,Yes,0,low,No,Small,Yes,Yes,No,Yes,Product,Yes,Public,No,no,No,none,global,Linear,No,None,No,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Online,B2B,Medium,High,Yes,Low,Masters,21,TECH,Yes,Yes,Both,500,Medium,0,1,1,Medium,109,None,26,Low,Low,No,No,Low,No Info,No,No,No,No,No,Yes,No,1,Low,0,33.3,15,Yes,16,11.575,0 to 2,11.11111111,0,0,55.55555556,0,11.11111111,16.66666667,5.555555556,0,0,0,0,0,0,3
Company326,Success,2005,9,Security Intelligence and Analytics,Security|Analytics,TECHNOLOGY,Canopy Ventures|Allegis Capital|Trident Capital|Canopy Group|Dry Canyon Holdings|Intel Capital|Cross Creek Capital,67,-1,No,1/1/05,1/30/12,20000000,United States,North America,0,0,3,1,3,200,Yes,2,medium,No,Small,No,No,No,No,Product,Yes,Both,No,Both,No,Both,global,Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,MBA,No,Yes,Tier_2,500,Medium,1,1,0,None,320,None,12,Medium,Low,No,No,Low,No Info,No,No,No,No,No,Yes,No,1,High,0,25,20,Yes,21,7.911111111,2 to 5,9.090909091,0,36.36363636,9.090909091,0,0,18.18181818,9.090909091,18.18181818,0,0,0,0,0,2
Company327,Success,2009,5,Social Media Analytics,Analytics|Marketing,technology,,0,,yes,1/2/09,4/1/09,0,United States,North America,1,0,3,0,2,10,No,0,low,No,Large,Yes,Yes,No,Yes,Service,Yes,Both,No,Both,No,Platform,No Info,No Info,No Info,None,No,No,No,No,No,No,No,No,No,Yes,Online,B2B,Low,Medium,Yes,Low,Bachelors,18,TECH,No,No,None,125,Medium,1,0,0,None,96,None,23,Low,High,No,No,Medium,No Info,No,No,No,No,No,Yes,No,1,Low,0,2.5,unknown amount,Not Applicable,3,3,2 to 5,0,0,47.05882353,0,0,0,0,0,0,2.941176471,0,0,0,0,6
Company328,Failed,2009,5,Social Media,Advertising|E-Commerce|Analytics|Marketing,Marketing & Sales,New Enterprise Associates|IndoUS Venture Partners|TriplePoint Capital|Jim Clark|Mike Ramsay|Presidio Ventures,20,-5,yes,1/1/09,2/16/12,6000000,United States,North America,7,0,2,1,8,50,No,2,low,No,Small,Yes,Yes,No,Yes,Service,No,Public,No,Structured,Yes,Both,local,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,mba,No,No,Both,500,Low,1,1,1,Medium,500,None,25,Low,Low,No,No,Low,No Info,No,No,Yes,No,No,No,No,2,Low,0,12.5,6,Not Applicable,8,9.688888889,0 to 2,8.333333333,0,47.22222222,2.777777778,0,2.777777778,19.44444444,5.555555556,2.777777778,2.777777778,0,0,5.555555556,2.777777778,10
Company329,Success,2009,5,Customer Experience Software,Analytics,analytics,Accel Partners,23,-4,yes,1/1/09,11/1/11,11000000,United States,North America,0,0,1,1,7,50,Yes,1,low,No,Small,No,No,No,Yes,Product,No,Public,No,Both,Yes,Both,No Info,No Info,No Info,None,No,No,No,Yes,No,Yes,Yes,No,No,No,Online,B2B,Medium,High,Yes,Low,Masters,21,mba,No,No,Both,500,High,1,1,1,Medium,216,None,14,High,Medium,No,No,Medium,No Info,No,No,Yes,No,No,No,No,2,Low,0,12.5,11,Not Applicable,8,12.61666667,2 to 5,2.777777778,0,8.333333333,8.333333333,2.777777778,11.11111111,8.333333333,2.777777778,2.777777778,2.777777778,0,0,0,0,1
Company330,Success,2009,5,Converting Visitors into Customers,Analytics|Marketing,"SALES,MARKETING",Charles River Ventures,0,-100,yes,10/17/09,1/15/10,3000000,United States,North America,0,0,1,0,1,50,Yes,0,low,No,Small,No,No,No,No,Product,No,Public,No,Structured,Yes,none,GLOBAL,Non-Linear,No,None,No,No,No,No,No,No,No,No,No,No,Online,B2C,Low,High,Yes,Low,Masters,21,mba,Yes,Yes,Tier_1,500,High,0,0,0,None,150,None,23,High,Medium,No,No,Low,No Info,No,No,Yes,No,No,No,No,1,Medium,8,12.5,3,Not Applicable,4,4,,0,0,82.35294118,5.882352941,0,5.882352941,5.882352941,0,0,0,0,0,0,0,3
Company331,Success,2008,6,Consumer Location Analytics,Analytics,Marketing & Sales,Gabriell Weinberg|David Cancel|Joshua Schachter|Roy Rodenstein|Project 11 Ventures,16,7,No,7/1/08,7/7/12,100000,United States,North America,1,4,3,1,3,50,Yes,0,low,No,Small,Yes,Yes,No,No,Service,No,Public,No,Structured,Yes,none,LOCAL,Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Medium,High,No,Low,PhD,25,phd,Yes,Yes,Tier_1,500,High,0,0,0,None,96,None,24,Low,Medium,No,No,Low,No Info,No,No,Yes,No,No,No,No,1,Medium,0,12.5,0.1,Yes,23,2.626666667,5 to 10,2.941176471,0,29.41176471,0,2.941176471,5.882352941,5.882352941,0,0,0,0,0,0,2.941176471,3
Company332,Success,2007,7,Big Data Capture and Analytics,Analytics,NETWORK OPTIMIZATION,Meakem Becker Venture Capital,6,0,No,4/1/07,4/27/12,5000000,United States,North America,0,0,2,0,4,50,No,1,low,No,Medium,Yes,Yes,No,Yes,Service,Yes,Both,No,Both,Yes,none,GLOBAL,Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Bachelors,18,NG,Yes,Yes,Tier_2,367,Low,1,1,0,None,2,None,34,High,Medium,No,Yes,Low,No Info,No,No,Yes,Yes,No,No,No,2,Medium,4,8.3,5,Yes,24,18.7,5 to 10,5.555555556,0,38.88888889,0,5.555555556,11.11111111,16.66666667,5.555555556,5.555555556,11.11111111,0,0,0,0,5
Company333,Failed,2010,4,Backup.Deliver.Trend cloud data,Analytics|Enterprise Software,PRIVACY,,0,-100,No,1/1/10,5/31/11,30000,United States,North America,1,0,1,0,1,10,No,1,low,No,Small,Yes,Yes,No,Yes,Service,Yes,Public,No,Both,Yes,Both,GLOBAL,Linear,No,None,No,No,No,No,Yes,No,No,No,No,No,Online,B2B,Low,High,Yes,Low,No Info,No Info,,No Info,Yes,No Info,500,Low,1,1,0,None,1,Few,25,High,Low,No,Yes,Low,No Info,No,No,Yes,No,No,Yes,No,2,Medium,1,2.5,0.03,Not Applicable,14,14,2 to 5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Company334,Success,2012,2,Predictive Analytics,Advertising|Entertainment|Media|Analytics,TARGETING OPTIMIZE,MassChallenge,1,,No,4/1/12,10/23/12,50000,United States,North America,1,0,1,0,3,10,No,1,medium,Yes,Large,Yes,Yes,No,Yes,Service,Yes,Public,No,Both,Yes,none,GLOBAL,Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Bachelors,18,MENG,Yes,Yes,Both,500,Low,1,1,1,Medium,0,None,22,Low,Medium,No,Yes,Low,No Info,No,No,Yes,No,No,No,No,1,Low,0,10,0.05,Not Applicable,14,14,0 to 2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Company335,Success,2010,4,Mailbox web service API s,Analytics|Email|Software Development,MAIL REPORTS,Y Combinator|Elad Gil|SV Angel|Yuri Milner|Paul Buchheit|Geoff Ralston|Webb Investment Network,,,No,2/7/10,5/13/11,1100000,United States,North America,6,0,2,0,6,No Info,Yes,1,low,No,Medium,Yes,Yes,No,Yes,Product,No,Public,No,Structured,Yes,none,GLOBAL,Non-Linear,No,None,No,No,Yes,No,No,No,No,No,No,No,Online,B2B,Medium,High,No,Low,Bachelors,18,finance,No,No,Tier_2,500,None,0,0,0,None,0,None,5,High,Medium,Yes,No,Low,No Info,No,No,No,No,No,No,Yes,1,Medium,0,No Info,1.1,Not Applicable,1,8.283333333,,0,0,75,0,0,0,0,25,0,0,0,0,0,0,0
Company336,Success,2010,4,Check your tracks. Metrics aggregator.,Analytics,analytics,Silicon Valley Bank,1,0,No,3/8/10,7/12/13,2000000,Germany,Europe,1,0,3,0,3,No Info,No,1,medium,No,Small,No,No,No,No,Product,Yes,Public,No,Unstructured,Yes,none,GLOBAL,Non-Linear,No,None,No,No,Yes,Yes,No,No,Yes,No,No,No,Online,B2B,Low,High,Yes,Low,Bachelors,18,mba,Yes,Yes,Both,500,Medium,0,0,0,None,2,None,16,Low,Medium,Yes,No,Medium,No Info,No,No,Yes,No,No,Yes,No,3,Medium,12,No Info,2,Not Applicable,38,38,2 to 5,8.333333333,4.166666667,52.08333333,4.166666667,4.166666667,0,6.25,4.166666667,6.25,10.41666667,0,0,0,0,2
Company337,Success,2006,8,Analytics for SaaS systems,Analytics,entertainment,Sunstone Capital,0,,No,6/1/06,1/1/08,2200000,Denmark,Europe,2,0,1,0,2,10,No,1,low,No,Medium,Yes,Yes,No,Yes,Service,Yes,no,No,no,No,Platform,GLOBAL,Non-Linear,No,None,No,No,No,No,No,No,Yes,No,No,Yes,Online,B2C,Medium,High,Yes,Low,Masters,21,msc,Yes,Yes,Both,500,Medium,0,0,0,None,0,None,15,Medium,Medium,Yes,No,Medium,No Info,No,No,No,No,No,Yes,No,4,Medium,10,1.4,2.2,Yes,1,18.61111111,5 to 10,12.5,6.25,18.75,6.25,6.25,0,18.75,6.25,6.25,12.5,0,0,0,6.25,1
Company338,Failed,2006,8,Metrics for Software Teams,Software Development|Analytics,METRICS,Ambient Sound Investments|Serenda Estonia,1,,No,1/1/06,4/24/08,200000,Estonia,Europe,2,0,2,0,2,10,No,0,low,No,Small,Yes,Yes,No,No,Product,Yes,Private,No,Structured,Yes,none,GLOBAL,Linear,Yes,None,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Online,B2B,Low,Medium,Yes,Low,Bachelors,18,technology,Yes,Yes,Tier_2,No Info,Low,0,0,0,None,177,Many,12,Medium,Low,No,No,Low,No Info,No,No,No,No,No,Yes,No,2,Low,0,1.6,0.2,No,24,24,5 to 10,7.692307692,0,23.07692308,0,0,0,11.53846154,3.846153846,0,3.846153846,0,0,0,0,5
Company339,Success,2008,6,360Â° mobile analytics,Analytics|Mobile,Marketing & Sales,Veraventure|Koppi Catch,,,No,1/1/08,6/8/10,2000000,Finland,Europe,1,0,1,0,2,No Info,No,0,medium,No,Small,Yes,Yes,No,No,Product,Yes,Public,No,Both,Yes,none,LOCAL,Linear,Yes,None,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Online,B2B,Low,Medium,Yes,Medium,Bachelors,18,phd,Yes,Yes,None,500,High,1,0,0,None,312,None,46,Low,Low,No,No,Medium,No Info,No,No,Yes,No,No,No,No,3,Medium,0,No Info,2,Yes,30,30,5 to 10,11.11111111,0,11.11111111,27.77777778,0,11.11111111,16.66666667,5.555555556,5.555555556,5.555555556,0,0,0,5.555555556,0
